iso,doc_counts
en,290599875.9
de,176313709.8
ru,159336837.0
fr,135373724.1
ja,134833698.0
es,131831636.4
zh,105667193.69999999
it,79698222.0
nl,63735434.099999994
pl,46485301.5
pt,32265901.8
cs,31133801.7
vi,26147359.8
id,21609935.099999998
tr,21606838.2
sv,21177035.1
fa,20098048.5
ko,17930451.6
hu,17713768.5
ar,16956593.099999998
el,15826557.6
ro,13265454.6
da,12436351.2
fi,11652402.600000001
th,11248740.0
uk,10771051.5
sk,10323399.6
no,10068321.6
bg,7857734.4
ca,6401625.300000001
hr,5857170.300000001
la,5706887.4
sr,5210717.4
hi,5089105.8
sl,4753208.699999999
lt,4443885.0
et,3859037.1
he,3272490.9000000004
bn,2912950.8000000003
lv,2265099.3000000003
sh,1289975.4
sq,1241823.5999999999
az,1240025.4
ta,1200265.2
is,1049316.2999999998
mk,1024274.7
ka,979253.1
gl,904361.4
hy,848350.8
eu,835463.7
ms,831600.8999999999
ur,806859.0
ne,773092.8
mr,674591.4
ml,669696.3
kk,634431.6000000001
te,510355.8
mn,416116.80000000005
be,410189.4
gu,388877.39999999997
kn,387512.1
tl,332067.6
my,320079.6
eo,315850.5
uz,313919.10000000003
km,289510.2
tg,256509.9
cy,249550.2
nn,232700.4
bs,226373.4
si,219780.0
sw,202996.8
pa,189243.9
tt,169363.8
ckb,155111.40000000002
af,154512.0
or,153546.3
ky,151115.40000000002
ga,147718.80000000002
am,126673.2
oc,114452.09999999999
ku,113586.3
lo,103962.59999999999
lb,102530.70000000001
ba,100166.4
ceb,89743.5
fy,77256.0
ps,76723.2
mt,74691.9
br,74425.5
as,70662.6
mg,64302.299999999996
war,58374.899999999994
dv,49217.4
yi,48984.299999999996
so,47785.5
sa,43589.7
sd,41525.100000000006
azb,40892.399999999994
tk,40193.1
jv,40126.5
bo,39160.8
ce,37495.799999999996
pnb,34965.0
gd,33166.8
ug,32500.8
cv,32367.6
als,28971.0
ht,28904.4
su,28205.100000000002
nds,25607.7
sah,24775.2
arz,21645.0
pms,19147.5
lmo,18115.2
hsb,18115.2
os,16816.5
ast,16716.600000000002
ilo,16250.4
qu,14518.8
xmf,14418.9
rm,14219.099999999999
mhr,12520.8
io,11555.1
wa,11355.300000000001
new,11255.400000000001
yo,9457.2
vo,9423.9
vec,8791.2
mzn,7592.4
bpy,7559.099999999999
lez,5194.8
an,5128.200000000001
li,4861.799999999999
ia,4595.4
kw,4062.6
eml,3962.7000000000003
nah,3696.3
wuu,3563.1000000000004
krc,3496.5
scn,3230.1
gn,2930.3999999999996
diq,2397.6
mrj,2397.6
bh,2331.0
jbo,2264.4
av,2164.5
dsb,2131.2
kv,2031.3
yue,1931.4
tyv,1898.1
mai,1831.5
gom,1598.4
mwl,1498.5
gv,1398.6
ie,1365.3
min,1332.0
vep,1298.7
pam,1057.1000000000001
sco,925.8666666666668
bxr,899.0000000000001
bar,716.1
myv,702.9333333333333
nap,591.0
bcl,481.06666666666666
xal,229.0
sc,185.0
dty,88.86666666666667
vls,75.0
co,72.0
cbk,64.0
pfl,33.0
hif,32.0
frr,25.0
lrc,18.0
rue,16.0